 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.542056,31.4961,372,2754,5.22876,0.19171,78567.888,0.260923
0.882353,36.5497,378,2741,0,0.0172414,75218.22,0.221989
0.764368,46.5116,427,2328,0,0,71999.032,0.0524415
0.968153,28.0191,288,2006,3.98804,0.326667,67558.752,0.169654
0.579235,22.7015,387,2489,10.3656,0.257485,83182.554,0.189177
0.660494,27.4273,414,2133,7.87623,0.229299,74021.958,0.0272174
0.703422,14.8832,376,3336,7.22422,0.337349,129041.696,0.174483
0.802956,25.4259,496,3036,9.12385,0.169312,86151.232,-0.0488638
1,33.0469,444,2470,0,0,128092.668,0.00529185
0.72028,75.643,151,1350,7.03704,0.264,67457.891,0.0515896
0.318182,23.9866,429,2996,0,0,98735.208,0.0153019
0.865546,106.724,143,1065,9.10798,0.194175,67212.86,0.0276251
0.924731,36.5364,449,2813,0,0,134840.537,0.227916
1,102.145,408,2585,0,0.0423453,120383.256,-0.177417
0.726708,44.2282,351,1641,0,0,92078.532,0.0774252
0.689024,20.2716,504,2195,13.9863,0.315789,104570.424,-0.126558
0.663158,32.7011,444,2251,13.0164,0.307692,94418.82,-0.0665964
1,54.5852,410,1688,0,0,73516.28,-0.0909741
0.815029,74.0192,363,1697,0,0,96072.306,-0.0872707
0.980132,51.9751,379,1255,0,0,66519.806,0.0142635
1,49.4315,419,1452,0,0,103313.668,0.210087
0.877301,45.3309,407,1682,0,0,55431.772,-0.00149395
0.957055,46.1042,434,2220,0,0,96557.622,0.114517
0.942529,44.3853,438,2239,0,0.091954,54500.34,0.0416018
1,42.8449,369,2140,0,0,50109.093,0.21507
1,37.3552,382,1942,0,0,136202.482,0.214928
1,57.4713,452,970,0,0,98592.952,-0.111519
1,46.9925,452,1654,0,0,85300.084,0.0171384
1,86.2069,429,2352,0,0,63298.092,-0.0442622
0.970874,52.9942,474,1743,0,0,134552.958,0.0717485
1,47.3037,414,1907,0,0,73652.256,0.0526426
1,57.7701,434,1566,0,0,52845.142,0.0166591
1,56.1798,468,888,0,0,112903.128,0.127955
0.929515,43.4405,500,2918,1.50788,0.100917,158402.5,0.0452483
1,36.7377,502,2604,0,0,128480.374,-0.0538828
0.964646,31.2989,494,2797,0,0.0461538,53768.442,0.0409924
0.88601,31.027,531,2671,7.82478,0.166667,160530.327,-0.0219417
0.954802,39.7772,463,2418,2.97767,0.1375,143597.598,-0.0388388
0.655814,19.3237,509,3446,12.4202,0.333333,153750.576,0.044429
0.603524,27.0124,472,2410,5.06224,0.103448,176252.824,0.159254
0.975,64.6412,491,1813,0,0.04375,146678.885,0.125698
0.816594,31.2695,479,3126,10.0128,0.227273,81824.217,0.0430229
1,58.8235,582,2033,0,0,145976.076,-0.127969
0.877095,42.4088,491,2334,1.97087,0.0838323,132663.29,0.0438628
1,66.4452,555,786,0,0,147970.77,-0.0999494
1,59.6659,473,1025,0,0,132642.917,0.0600899
0.742857,50.226,468,3335,8.06597,0.097561,123872.58,0.158238
0.905941,46.2107,511,2511,0,0,68244.05,0.239862
0.505747,21.6357,438,2370,5.99156,0.275,131439.858,0.0975599
0.954751,48.216,446,3332,0,0,139226.482,-0.039387
1,55.2181,531,698,0,0,126865.458,-0.0436982
0.875648,46.3822,481,1679,0,0,86801.26,0.102674
0.956757,40.4858,556,2408,0,0,87655.624,0.186293
0.791878,34.8918,479,2665,3.6773,0.21164,138219.282,0.0967984
0.978142,45.5373,484,1878,0,0,108451.332,0.0430591
0.972678,51.3084,397,1370,0,0.00568182,72079.32,-0.010818
1,43.8404,442,2128,0,0,130774.54,0.121137
1,64.2674,374,1890,0,0,75167.642,0.0598756
1,56.7215,539,2095,0,0,143895.213,-0.0472272
1,53.0223,457,1880,0,0,166552.279,0.061292
1,37.9219,419,2122,0,0,157065.921,0.0881976
0.985507,53.0786,430,2544,0,0,159982.79,0.0979534
1,47.7783,502,1268,0,0,141295.43,-0.00614773
0.850299,66.8896,516,1586,7.50315,0.124183,148518.216,-0.0811461
1,45.0653,583,2397,0,0,78174.47,0.0304073
1,43.6872,449,2412,0,0,133270.833,0.186074
1,45.0248,442,2243,0,0,175917.768,0.0283307
1,69.0608,490,1386,0,0,152036.22,-0.0720637
0.895028,41.1015,466,2374,3.07498,0.123596,64643.054,-0.0116673
1,46.6853,480,2060,0,0,150815.52,-0.0941172
0.985507,50.5051,512,3573,0,0,146196.992,-0.108773
